name,country,region,rating,rating_count,price,source_sheet,vintage,producer_hint
Tenuta San Guido Sassicaia 2019,Italië,Bolgheri Sassicaia,4.6,1006,323.7959717182087,Italie,2019.0,Tenuta
Caiarossa Aria di Caiarossa 2015,Italië,Toscane,4.2,506,28.047878486627443,Italie,2015.0,Caiarossa
Azienda Agricola I Luoghi Podere Ritorti Bolgheri Superiore 2018,Italië,Bolgheri Superiore,4.2,63,28.697636289406457,Italie,2018.0,Azienda
Tenuta San Guido Sassicaia 2019,Italië,Bolgheri Sassicaia,4.6,983,324.26617155524127,Uruguay,2019.0,Tenuta
Caiarossa Aria di Caiarossa 2015,Italië,Toscane,4.2,504,28.088608171507524,Uruguay,2015.0,Caiarossa
Azienda Agricola I Luoghi Podere Ritorti Bolgheri Superiore 2018,Italië,Bolgheri Superiore,4.2,61,28.739309519110016,Uruguay,2018.0,Azienda
Tommasi Filodora Prosecco N.V.,Italië,Prosecco,3.6,2879,25.973828791799427,Uruguay,,Tommasi
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2017,Italië,Primitivo di Manduria,4.5,15022,48.395007098338326,Uruguay,2017.0,San
Antinori Tignanello 2015,Italië,Toscane,4.6,13180,305.65267641055783,Uruguay,2015.0,Antinori
Santa Margherita Valdobbiadene Prosecco Superiore N.V.,Italië,Conegliano-Valdobbiadene Prosecco Superiore,3.8,12019,13.950602723263652,Uruguay,,Santa
Antinori Tignanello 2012,Italië,Toscane,4.5,11016,326.02952150459504,Uruguay,2012.0,Antinori
Antinori Tignanello 2018,Italië,Toscane,4.7,7145,247.06924676520092,Uruguay,2018.0,Antinori
Tenuta San Guido Sassicaia 2010,Italië,Bolgheri Sassicaia,4.6,6450,815.0738037614876,Uruguay,2010.0,Tenuta
Gancia Prosecco N.V.,Italië,Prosecco,3.6,6222,17.065607766256147,Uruguay,,Gancia
Tenuta San Guido Sassicaia 2009,Italië,Bolgheri Sassicaia,4.7,6199,764.1316910263946,Uruguay,2009.0,Tenuta
San Marzano Il Pumo Primitivo 2018,Italië,Salento,3.8,5687,15.282633820527892,Uruguay,2018.0,San
Fontanafredda Barolo 2013,Italië,Barolo,3.7,5000,117.93099098174024,Uruguay,2013.0,Fontanafredda
Varvaglione Papale Linea Oro Primitivo di Manduria 2017,Italië,Primitivo di Manduria,4.3,4742,47.88558597098739,Uruguay,2017.0,Varvaglione
Tenuta San Guido Sassicaia 2008,Italië,Bolgheri Sassicaia,4.6,4361,789.6027473939411,Uruguay,2008.0,Tenuta
Castellare Chianti Classico 2018,Italië,Chianti Classico,3.9,3825,96.79001419667664,Uruguay,2018.0,Castellare
Farnese Fantini Montepulciano d'Abruzzo 2018,Italië,Montepulciano d’Abruzzo,3.7,3816,12.226107056422316,Uruguay,2018.0,Farnese
Tenuta San Guido Sassicaia 2007,Italië,Bolgheri Sassicaia,4.6,3619,815.0738037614876,Uruguay,2007.0,Tenuta
Tenuta San Guido Sassicaia 2006,Italië,Bolgheri Sassicaia,4.7,3435,840.5448601290341,Uruguay,2006.0,Tenuta
Varvaglione Papale Primitivo di Manduria 2017,Italië,Primitivo di Manduria,4.1,3415,19.103292275659864,Uruguay,2017.0,Varvaglione
Masi Bonacosta Valpolicella Classico 2019,Italië,Valpolicella,3.6,3029,24.197503549169163,Uruguay,2019.0,Masi
Varvaglione 12 e Mezzo Primitivo del Salento 2017,Italië,Salento,3.9,2934,19.103292275659864,Uruguay,2017.0,Varvaglione
Gaja Ca'Marcanda Magari 2016,Italië,Bolgheri,4.3,2922,96.28059306932572,Uruguay,2016.0,Gaja
Tenuta San Guido Sassicaia 2005,Italië,Bolgheri Sassicaia,4.6,2903,866.0159164965805,Uruguay,2005.0,Tenuta
Masciarelli Montepulciano d'Abruzzo 2013,Italië,Montepulciano d’Abruzzo,3.6,2590,23.433371858142767,Uruguay,2013.0,Masciarelli
San Marzano Il Pumo Negroamaro 2018,Italië,Salento,3.8,2551,15.282633820527892,Uruguay,2018.0,San
Masi Campofiorin Rosso Veronese 2018,Italië,Rosso Veronese,3.8,2547,27.50874087695021,Uruguay,2018.0,Masi
